Not classified	INX	GDP (current US$)	
Ireland	IRL	GDP (current US$)	2.56271E+11
"Iran, Islamic Rep."	IRN	GDP (current US$)	4.25326E+11
Iraq	IRQ	GDP (current US$)	2.34648E+11
Iceland	ISL	GDP (current US$)	17178962757
Israel	ISR	GDP (current US$)	3.08769E+11
Italy	ITA	GDP (current US$)	2.15173E+12
Jamaica	JAM	GDP (current US$)	13897561173
Jordan	JOR	GDP (current US$)	35826925775
Japan	JPN	GDP (current US$)	4.84873E+12
Kazakhstan	KAZ	GDP (current US$)	2.21416E+11
Kenya	KEN	GDP (current US$)	61445345999
Kyrgyz Republic	KGZ	GDP (current US$)	7468096567
Cambodia	KHM	GDP (current US$)	16777820333
Kiribati	KIR	GDP (current US$)	186066973.1
St. Kitts and Nevis	KNA	GDP (current US$)	847778185.2
"Korea, Rep."	KOR	GDP (current US$)	1.41133E+12
Kuwait	KWT	GDP (current US$)	1.62632E+11
Latin America & Caribbean (excluding high income)	LAC	GDP (current US$)	5.7961E+12
Lao PDR	LAO	GDP (current US$)	13268297522
Lebanon	LBN	GDP (current US$)	45730945274
Liberia	LBR	GDP (current US$)	2013000000
Libya	LBY	GDP (current US$)	
St. Lucia	LCA	GDP (current US$)	1386188630
Latin America & Caribbean	LCN	GDP (current US$)	6.27627E+12
Least developed countries: UN classification	LDC	GDP (current US$)	9.36514E+11
Low income	LIC	GDP (current US$)	4.09946E+11
Liechtenstein	LIE	GDP (current US$)	6663501419
Sri Lanka	LKA	GDP (current US$)	79356456990
Lower middle income	LMC	GDP (current US$)	6.06738E+12
Low & middle income	LMY	GDP (current US$)	2.85259E+13
Lesotho	LSO	GDP (current US$)	2520952363
Late-demographic dividend	LTE	GDP (current US$)	1.96968E+13
Lithuania	LTU	GDP (current US$)	48545251796
Luxembourg	LUX	GDP (current US$)	66298060522
Latvia	LVA	GDP (current US$)	31352249350
"Macao SAR, China"	MAC	GDP (current US$)	55347998648
St. Martin (French part)	MAF	GDP (current US$)	
Morocco	MAR	GDP (current US$)	1.09881E+11
Monaco	MCO	GDP (current US$)	
Moldova	MDA	GDP (current US$)	7983271111
Madagascar	MDG	GDP (current US$)	10673516673
Maldives	MDV	GDP (current US$)	3094197810
Middle East & North Africa	MEA	GDP (current US$)	3.55216E+12
Mexico	MEX	GDP (current US$)	1.2984E+12
Marshall Islands	MHL	GDP (current US$)	183114100
Middle income	MIC	GDP (current US$)	2.81727E+13
