STN,date,   ave_temp,   min_temp,   max_temp
  380,20040101,  -10,  -38,    5
  380,20040102,  -22,  -63,   -1
  380,20040103,  -54,  -85,  -19
  380,20040104,   -4,  -44,   22
  380,20040105,   28,   18,   36
  380,20040106,   57,   33,   79
  380,20040107,   59,   13,   81
  380,20040108,   49,   16,   67
  380,20040109,   58,   40,   74
  380,20040110,   49,   11,   79
  380,20040111,   92,   47,  123
  380,20040112,   52,   42,   63
  380,20040113,   77,   57,  100
  380,20040114,   51,   23,   68
  380,20040115,   39,   22,   53
  380,20040116,   62,   47,   80
  380,20040117,   41,   32,   57
  380,20040118,   12,  -26,   43
  380,20040119,   41,   -7,   84
  380,20040120,   41,  -11,   86
  380,20040121,   -2,  -20,   29
  380,20040122,    6,  -26,   28
  380,20040123,   13,  -13,   60
  380,20040124,   25,   -1,   45
  380,20040125,   29,   -4,   60
  380,20040126,    6,  -15,   24
  380,20040127,   -5,  -18,    7
  380,20040128,    2,   -9,   14
  380,20040129,    1,  -24,   18
  380,20040130,   10,   -7,   27
  380,20040131,   73,   21,  118
  380,20040201,  103,   85,  122
  380,20040202,  114,   95,  124
  380,20040203,  124,   95,  155
  380,20040204,  138,  105,  167
  380,20040205,  130,  123,  143
  380,20040206,  121,   98,  152
  380,20040207,   74,   48,  101
  380,20040208,   36,    5,   59
  380,20040209,   26,    7,   46
  380,20040210,   20,  -20,   44
  380,20040211,   63,   34,   83
  380,20040212,   39,    5,   62
  380,20040213,   62,   51,   78
  380,20040214,   62,   48,   81
  380,20040215,   50,    4,   66
  380,20040216,   27,   -6,   61
  380,20040217,   36,   14,   55
  380,20040218,   40,    6,   62
  380,20040219,    8,  -15,   35
  380,20040220,    4,  -28,   51
  380,20040221,    7,  -22,   29
  380,20040222,   11,  -18,   46
  380,20040223,    6,  -31,   52
  380,20040224,    4,  -50,   45
  380,20040225,    5,  -15,   32
  380,20040226,  -12,  -42,   28
  380,20040227,  -10,  -41,   25
  380,20040228,   -5,  -44,   27
  380,20040229,  -17,  -36,    3
  380,20040301,   -5,  -53,   33
  380,20040302,   28,   -4,   72
  380,20040303,   18,  -32,   77
  380,20040304,   57,    5,  114
  380,20040305,   38,    8,   81
  380,20040306,   21,    7,   37
  380,20040307,   41,   25,   68
  380,20040308,   23,  -15,   64
  380,20040309,    6,   -8,   21
  380,20040310,    3,  -11,   14
  380,20040311,   10,  -17,   46
  380,20040312,   32,  -19,   78
  380,20040313,   86,   56,  112
  380,20040314,   95,   57,  134
  380,20040315,  115,   95,  136
  380,20040316,  125,   84,  174
  380,20040317,  143,   60,  212
  380,20040318,  130,   72,  197
  380,20040319,  108,   90,  136
  380,20040320,  112,   78,  135
  380,20040321,   88,   68,  117
  380,20040322,   68,   32,  103
  380,20040323,   57,   34,   93
  380,20040324,   45,    7,   84
  380,20040325,   30,   -7,   73
  380,20040326,   21,  -13,   62
  380,20040327,   29,  -25,   80
  380,20040328,   47,  -26,  106
  380,20040329,   68,   -6,  130
  380,20040330,   98,   17,  169
  380,20040331,  128,   40,  195
  380,20040401,  142,   62,  199
  380,20040402,  130,   85,  177
  380,20040403,  116,   96,  142
  380,20040404,  105,   73,  132
  380,20040405,   75,   38,  111
  380,20040406,   51,   27,   86
  380,20040407,   51,   34,   87
  380,20040408,   50,   31,   86
  380,20040409,   58,   37,   83
  380,20040410,   53,   11,   82
  380,20040411,   53,   17,   91
  380,20040412,   74,    6,  129
  380,20040413,   84,   48,  112
  380,20040414,   88,   19,  157
  380,20040415,  121,   34,  181
  380,20040416,  137,   52,  202
  380,20040417,  138,   72,  200
  380,20040418,   96,   67,  127
  380,20040419,   72,   33,  123
  380,20040420,   98,   43,  151
  380,20040421,  127,   74,  174
  380,20040422,  136,   96,  181
  380,20040423,  120,   77,  168
  380,20040424,  111,   57,  160
  380,20040425,  121,   48,  170
  380,20040426,  136,   75,  187
  380,20040427,  154,   85,  203
  380,20040428,  146,  109,  205
  380,20040429,  139,  107,  172
  380,20040430,  152,  119,  215
  380,20040501,  136,  107,  163
  380,20040502,  137,   98,  191
  380,20040503,  128,   74,  193
  380,20040504,  104,   80,  148
  380,20040505,   99,   55,  144
  380,20040506,  101,   32,  154
  380,20040507,   85,   67,  105
  380,20040508,   82,   67,   97
  380,20040509,  117,   73,  155
  380,20040510,  135,   99,  177
  380,20040511,  105,   80,  133
  380,20040512,  107,   75,  158
  380,20040513,   98,   77,  120
  380,20040514,  117,   54,  161
  380,20040515,  138,   49,  203
  380,20040516,  143,   96,  190
  380,20040517,  164,   86,  219
  380,20040518,  170,  106,  226
  380,20040519,  170,   79,  237
  380,20040520,  164,   94,  221
  380,20040521,  106,   65,  143
  380,20040522,   92,   40,  144
  380,20040523,  104,   62,  152
  380,20040524,  115,   32,  175
  380,20040525,  128,   46,  190
  380,20040526,  119,   74,  160
