STN,date,   ave_temp,   min_temp,   max_temp
  260,19010101,  -49,  -65,  -24
  260,19010102,  -18,  -33,  -14
  260,19010103,  -26,  -76,   -6
  260,19010104,  -65,  -90,  -11
  260,19010105,  -60,  -82,  -20
  260,19010106, -100, -114,  -80
  260,19010107,  -92, -121,  -68
  260,19010108,  -49,  -93,   -7
  260,19010109,   11,  -26,   44
  260,19010110,   15,  -15,   61
  260,19010111,  -19,  -75,   51
  260,19010112,  -64,  -88,  -20
  260,19010113,  -44,  -80,  -20
  260,19010114,  -24,  -69,   31
  260,19010115,    7,  -35,   54
  260,19010116,   -4,  -42,   42
  260,19010117,   18,  -24,   65
  260,19010118,   -2,  -42,   43
  260,19010119,   34,   -7,   64
  260,19010120,   57,   45,   72
  260,19010121,   72,   64,  100
  260,19010122,   73,   71,   83
  260,19010123,   20,  -20,   83
  260,19010124,   16,  -12,   57
  260,19010125,   58,   51,   75
  260,19010126,   41,   31,   70
  260,19010127,   74,   40,   90
  260,19010128,   29,    0,   54
  260,19010129,   -3,  -34,   28
  260,19010130,    7,  -21,   39
  260,19010131,    7,   -5,   22
  260,19010201,    1,  -19,   23
  260,19010202,   -9,  -33,   -3
  260,19010203,  -12,  -56,   26
  260,19010204,  -44,  -83,  -19
  260,19010205,  -16,  -34,   17
  260,19010206,  -18,  -41,    1
  260,19010207,  -24, -103,   27
  260,19010208,   16,  -10,   62
  260,19010209,   20,   11,   32
  260,19010210,   21,    9,   27
  260,19010211,    1,  -29,   28
  260,19010212,  -17,  -50,   35
  260,19010213,  -56,  -81,  -27
  260,19010214,  -77, -111,  -43
  260,19010215,  -62, -129,  -25
  260,19010216,   18,  -22,   45
  260,19010217,   -8,  -47,   14
  260,19010218,  -22,  -62,    4
  260,19010219,  -19,  -56,   -3
  260,19010220,  -67, -103,  -28
  260,19010221,  -52, -110,   -7
  260,19010222,  -15,  -39,    1
  260,19010223,   16,   -9,   35
  260,19010224,   21,  -15,   40
  260,19010225,   36,   27,   55
  260,19010226,   29,    4,   70
  260,19010227,   44,   11,   74
  260,19010228,   54,   38,   82
  260,19010301,   51,   40,   69
  260,19010302,   63,   46,   80
  260,19010303,   64,   46,   94
  260,19010304,   53,   21,   90
  260,19010305,   69,   45,   95
  260,19010306,   48,   35,   63
  260,19010307,   41,   31,   63
  260,19010308,   44,   11,   92
  260,19010309,   27,    8,   32
  260,19010310,   20,   10,   23
  260,19010311,   23,    7,   38
  260,19010312,   46,   39,   59
  260,19010313,   48,   15,   92
  260,19010314,   39,    9,   84
  260,19010315,   57,   12,  116
  260,19010316,   74,   60,  100
  260,19010317,   55,   18,   90
  260,19010318,   39,   27,   55
  260,19010319,   36,   15,   60
  260,19010320,   31,    2,   48
  260,19010321,   19,  -11,   59
  260,19010322,   13,  -13,   40
  260,19010323,   23,  -14,   58
  260,19010324,   23,  -11,   72
  260,19010325,    4,  -24,   29
  260,19010326,  -14,  -66,   37
  260,19010327,  -16,  -32,   25
  260,19010328,  -13,  -51,   37
  260,19010329,   -6,  -27,   38
  260,19010330,   45,   -6,   82
  260,19010331,   81,   63,  112
  260,19010401,   71,   20,  110
  260,19010402,   75,    0,  129
  260,19010403,  111,   80,  140
  260,19010404,   84,   37,  118
  260,19010405,   50,   -7,   90
  260,19010406,   62,  -18,  107
  260,19010407,   97,   70,  118
  260,19010408,  103,   54,  136
  260,19010409,   97,   66,  127
  260,19010410,   81,   52,  117
  260,19010411,   83,   57,  117
  260,19010412,   65,   51,   95
  260,19010413,   58,   33,   91
  260,19010414,   79,   55,  109
  260,19010415,   59,   28,   90
  260,19010416,   46,   14,   90
  260,19010417,   51,   14,   79
  260,19010418,   62,  -15,  126
  260,19010419,   92,   28,  154
  260,19010420,  127,   39,  193
  260,19010421,  153,   69,  215
  260,19010422,  165,  109,  224
  260,19010423,  147,   76,  205
  260,19010424,  132,   72,  183
  260,19010425,  134,   75,  195
  260,19010426,   60,    6,  111
  260,19010427,   72,   22,  130
  260,19010428,   97,   69,  133
  260,19010429,   97,   67,  151
  260,19010430,   99,   60,  164
  260,19010501,   85,   70,  102
  260,19010502,  116,   22,  177
  260,19010503,  129,   60,  177
  260,19010504,   91,   57,  135
  260,19010505,   79,   35,  113
  260,19010506,   91,   44,  155
  260,19010507,   82,   41,  121
  260,19010508,   84,   33,  141
  260,19010509,   93,   45,  133
  260,19010510,   96,   40,  165
  260,19010511,  106,   32,  165
  260,19010512,  113,   74,  148
  260,19010513,  126,   97,  173
  260,19010514,  138,   89,  195
  260,19010515,  119,   84,  167
  260,19010516,  100,   79,  148
  260,19010517,   93,   69,  128
  260,19010518,   82,   24,  139
  260,19010519,  101,   12,  174
  260,19010520,  107,   56,  153
  260,19010521,  142,   35,  211
  260,19010522,  143,   62,  201
  260,19010523,  127,   55,  185
  260,19010524,  141,   44,  201
  260,19010525,  137,   80,  191
  260,19010526,  166,  101,  232
  260,19010527,  138,   97,  200
  260,19010528,  157,   66,  252
  260,19010529,  182,   79,  260
  260,19010530,  181,  143,  252
  260,19010531,  171,  142,  224
  260,19010601,  181,  134,  247
  260,19010602,  161,  115,  207
